,Benchmark,Consumer Staples,,Healthcare,,Telecoms,,Federal Funds Rate,Monthly Log Returns from Adj. Close,,,,,,,Monthly Change in Federal Funds Rate (Fixed Window Approach),Hike Dummy,Cut Dummy
,$SPY,$PG,$KO,$JNJ,$UNH,$VZ,$T,,$SPY,$PG,$KO,$JNJ,$UNH,$VZ,$T,,,
1/31/2000,87.8473,25.7225,13.9857,21.9218,5.1364,15.858,7.559,5.45,-0.015343534,-0.140137171,-0.166501075,-0.174766847,-0.036116743,-0.235564298,-0.127415534,0.28,1,0
2/29/2000,86.5097,22.359,11.8406,18.4067,4.9542,12.5298,6.6547,5.73,0.092482856,-0.437316823,-0.031494275,-0.024606642,0.154340976,0.222405837,0.109771708,0.12,1,0
3/31/2000,94.892,14.4387,11.4735,17.9593,5.781,15.6507,7.4268,5.85,-0.035751461,0.056344682,0.006584801,0.160738323,0.11207379,-0.012770728,0.044531377,0.17,1,0
4/28/2000,91.5594,15.2756,11.5493,21.091,6.4666,15.4521,7.765,6.02,-0.015848046,0.107033028,0.12197938,0.085037816,0.111547073,-0.126323097,0,0.25,1,0
5/31/2000,90.1198,17.0013,13.0476,22.963,7.2297,13.6184,7.765,6.27,0.019513254,-0.158548235,0.076484893,0.129754618,0.139827491,-0.039932357,0.004330597,0.26,1,0
6/30/2000,91.8956,14.5086,14.0847,26.1445,8.3147,13.0853,7.7987,6.53,-0.015827193,0.010299261,0.065205246,-0.09074832,-0.047031576,-0.07627776,-0.027468076,0.01,1,0
7/31/2000,90.4526,14.6588,15.0337,23.8764,7.9327,12.1243,7.5874,6.54,0.063295316,0.081341163,-0.152470315,-0.008576487,0.144409335,-0.071595522,-0.018744853,-0.04,0,1
8/31/2000,96.3629,15.901,12.9077,23.6725,9.1651,11.2866,7.4465,6.5,-0.056366563,0.080299069,0.049455105,0.021302788,0.043784074,0.107107965,0.17744161,0.02,1,0
9/29/2000,91.0815,17.2305,13.5621,24.1822,9.5753,12.5626,8.8923,6.52,-0.004689205,0.0688439,0.090963122,-0.019458466,0.102233013,0.184228843,0.150195634,-0.01,0,1
10/31/2000,90.6554,18.4585,14.8536,23.7162,10.606,15.1039,10.3334,6.51,-0.077586506,0.047027906,0.039314962,0.083231152,0.069989295,-0.028419283,-0.048844359,0,0,0
11/30/2000,83.8877,19.3473,15.4492,25.7746,11.3749,14.6807,9.8408,6.51,-0.005166642,0.046446007,-0.02734935,0.049741922,0.0454149,-0.114119969,-0.140266602,-0.11,0,1
12/29/2000,83.4554,20.2671,15.0324,27.0891,11.9034,13.0974,8.5529,6.4,0.043499695,-0.082916838,-0.049451954,-0.120915116,-0.084443981,0.098875656,0.017535261,-0.42,0,1
1/31/2001,87.1658,18.6544,14.3071,24.0039,10.9395,14.4586,8.7042,5.98,-0.10024952,-0.018831318,-0.089579833,0.047500058,0.048783635,-0.104449516,-0.013532945,-0.49,0,1
2/28/2001,78.8512,18.3064,13.0812,25.1716,11.4864,13.0246,8.5872,5.49,-0.057617463,-0.11884402,-0.156960176,-0.106811173,0.001026775,-0.004054397,-0.065632219,-0.18,0,1
3/30/2001,74.4364,16.2551,11.181,22.6216,11.4982,12.9719,8.0417,5.31,0.081986103,-0.035510617,0.022550365,0.098040762,0.099812986,0.118441508,-0.07286236,-0.51,0,1
4/30/2001,80.7963,15.688,11.436,24.9518,12.7051,14.603,7.4766,4.8,-0.005622469,0.067446547,0.025860683,0.008416775,-0.129963273,-0.004007196,0.042717316,-0.59,0,1
5/31/2001,80.3433,16.7826,11.7356,25.1627,11.1567,14.5446,7.8029,4.21,-0.024118772,-0.00687592,-0.048044422,0.030176686,0.071306887,-0.024914885,-0.071028068,-0.24,0,1
6/29/2001,78.4287,16.6676,11.1851,25.9336,11.9813,14.1867,7.2679,3.97,-0.010247575,0.112685014,-0.008926546,0.079610742,0.087851917,0.01927493,0.123333934,-0.2,0,1
7/31/2001,77.6291,18.6557,11.0857,28.0826,13.0815,14.4628,8.2219,3.77,-0.061165158,0.04312876,0.087326298,-0.022685644,0.009449536,-0.079733917,-0.095959876,-0.12,0,1
